	level_1	AUC
0	Cross-validation	0.6560489060489061
0	Testing	0.7071488294314381
1	Cross-validation	0.7239382239382239
1	Testing	0.7323738005840634
2	Cross-validation	0.7763835263835264
2	Testing	0.7784730913642053
3	Cross-validation	0.658068783068783
3	Testing	0.8139880952380953
4	Cross-validation	0.7195121951219512
4	Testing	0.6961682632236569
5	Cross-validation	0.8037323037323039
5	Testing	0.6651936026936027
6	Cross-validation	0.731016731016731
6	Testing	0.6875
7	Cross-validation	0.7168597168597168
7	Testing	0.7125
8	Cross-validation	0.6660052910052909
8	Testing	0.6766581632653061
9	Cross-validation	0.6290650406504065
9	Testing	0.6048245614035088
10	Cross-validation	0.6415701415701416
10	Testing	0.7124735729386892
11	Cross-validation	0.537001287001287
11	Testing	0.6195286195286196
12	Cross-validation	0.7583655083655084
12	Testing	0.7129629629629629
13	Cross-validation	0.669973544973545
13	Testing	0.6377083333333333
14	Cross-validation	0.7882791327913278
14	Testing	0.72090112640801
15	Cross-validation	0.6988416988416988
15	Testing	0.7073170731707318
16	Cross-validation	0.6393178893178892
16	Testing	0.7041666666666666
17	Cross-validation	0.6734234234234233
17	Testing	0.6298097251585624
18	Cross-validation	0.7301587301587303
18	Testing	0.7539983164983166
19	Cross-validation	0.6957994579945799
19	Testing	0.7569533590072743
20	Cross-validation	0.6628056628056628
20	Testing	0.6983695652173912
21	Cross-validation	0.7027027027027026
21	Testing	0.7667950363714163
22	Cross-validation	0.6431788931788932
22	Testing	0.7167642140468227
23	Cross-validation	0.7060185185185185
23	Testing	0.727633779264214
24	Cross-validation	0.6361788617886179
24	Testing	0.6948160535117057
25	Cross-validation	0.7065637065637066
25	Testing	0.7753019575177009
26	Cross-validation	0.7619047619047619
26	Testing	0.7509433962264151
27	Cross-validation	0.7191119691119691
27	Testing	0.640670859538784
28	Cross-validation	0.591931216931217
28	Testing	0.7503128911138923
29	Cross-validation	0.6483739837398373
29	Testing	0.7213628762541806
30	Cross-validation	0.5868725868725869
30	Testing	0.7414376321353066
31	Cross-validation	0.6731016731016731
31	Testing	0.6915391156462585
32	Cross-validation	0.6743886743886743
32	Testing	0.6557684298209079
33	Cross-validation	0.7199074074074073
33	Testing	0.7389583333333333
34	Cross-validation	0.6717479674796749
34	Testing	0.6830487296959602
35	Cross-validation	0.6734234234234233
35	Testing	0.6456659619450318
36	Cross-validation	0.714929214929215
36	Testing	0.661522198731501
37	Cross-validation	0.675997425997426
37	Testing	0.7770534550195567
38	Cross-validation	0.6858465608465609
38	Testing	0.6879208754208754
39	Cross-validation	0.7144308943089431
39	Testing	0.7553237722729247
40	Cross-validation	0.7226512226512227
40	Testing	0.6397334443981674
41	Cross-validation	0.6830759330759331
41	Testing	0.7644972882770129
42	Cross-validation	0.6965894465894467
42	Testing	0.7286637931034483
43	Cross-validation	0.6765873015873016
43	Testing	0.6595744680851064
44	Cross-validation	0.6419376693766938
44	Testing	0.7432206925323321
45	Cross-validation	0.7261904761904763
45	Testing	0.6806250000000001
46	Cross-validation	0.7355212355212355
46	Testing	0.779664570230608
47	Cross-validation	0.6885456885456885
47	Testing	0.6921151439299125
48	Cross-validation	0.6845238095238095
48	Testing	0.7561535252398832
49	Cross-validation	0.6910569105691058
49	Testing	0.75376254180602
50	Cross-validation	0.7596525096525096
50	Testing	0.638888888888889
51	Cross-validation	0.6795366795366795
51	Testing	0.6498942917547569
52	Cross-validation	0.6309523809523809
52	Testing	0.7454741379310346
53	Cross-validation	0.6782407407407407
53	Testing	0.7773784355179705
54	Cross-validation	0.7293360433604337
54	Testing	0.6861635220125786
55	Cross-validation	0.7287644787644788
55	Testing	0.7509386733416771
56	Cross-validation	0.5826898326898327
56	Testing	0.7648694908001712
57	Cross-validation	0.6718146718146718
57	Testing	0.7392676767676767
58	Cross-validation	0.8019179894179894
58	Testing	0.6906976744186046
59	Cross-validation	0.7378048780487805
59	Testing	0.6593291404612159
60	Cross-validation	0.7203989703989705
60	Testing	0.6975
61	Cross-validation	0.6766409266409267
61	Testing	0.7747111681643132
62	Cross-validation	0.7535392535392536
62	Testing	0.7150919732441471
63	Cross-validation	0.6683201058201058
63	Testing	0.6998299319727891
64	Cross-validation	0.6399051490514907
64	Testing	0.6486373165618449
65	Cross-validation	0.6505791505791506
65	Testing	0.6935416666666666
66	Cross-validation	0.6496138996138996
66	Testing	0.7531354515050166
67	Cross-validation	0.7126769626769627
67	Testing	0.7272916666666667
68	Cross-validation	0.6663359788359788
68	Testing	0.7681856187290971
69	Cross-validation	0.7384823848238482
69	Testing	0.7362002567394096
70	Cross-validation	0.6129343629343629
70	Testing	0.699623745819398
71	Cross-validation	0.6412483912483912
71	Testing	0.7573160535117056
72	Cross-validation	0.8336550836550836
72	Testing	0.6677295918367347
73	Cross-validation	0.6101190476190476
73	Testing	0.6854122621564481
74	Cross-validation	0.698509485094851
74	Testing	0.6519274376417235
75	Cross-validation	0.694015444015444
75	Testing	0.7134171907756813
76	Cross-validation	0.5781853281853282
76	Testing	0.6275083612040133
77	Cross-validation	0.7474259974259975
77	Testing	0.6882548937942524
78	Cross-validation	0.6246693121693121
78	Testing	0.712348769294952
79	Cross-validation	0.700880758807588
79	Testing	0.7276337792642141
80	Cross-validation	0.7194337194337195
80	Testing	0.6678646934460888
81	Cross-validation	0.7371299871299871
81	Testing	0.7591194968553459
82	Cross-validation	0.6727799227799228
82	Testing	0.7172916666666667
83	Cross-validation	0.7304894179894179
83	Testing	0.6627155172413792
84	Cross-validation	0.6537940379403795
84	Testing	0.7457482993197279
85	Cross-validation	0.7255469755469756
85	Testing	0.7535535117056855
86	Cross-validation	0.6573359073359073
86	Testing	0.7123745819397993
87	Cross-validation	0.7477477477477478
87	Testing	0.6781462585034014
88	Cross-validation	0.7056878306878307
88	Testing	0.7322851153039831
89	Cross-validation	0.7090108401084012
89	Testing	0.7363636363636363
90	Cross-validation	0.6525096525096525
90	Testing	0.7304292929292929
91	Cross-validation	0.7191119691119691
91	Testing	0.7073425114726741
92	Cross-validation	0.7072072072072073
92	Testing	0.6564537157757496
93	Cross-validation	0.6729497354497355
93	Testing	0.7241379310344828
94	Cross-validation	0.6951219512195123
94	Testing	0.7710691823899372
95	Cross-validation	0.5916988416988417
95	Testing	0.7493729096989967
96	Cross-validation	0.6618404118404119
96	Testing	0.683125
97	Cross-validation	0.6946589446589446
97	Testing	0.7042898792169929
98	Cross-validation	0.7156084656084656
98	Testing	0.7141649048625793
99	Cross-validation	0.6686991869918699
99	Testing	0.7363370880267001
100	Cross-validation	0.6650579150579151
101	Cross-validation	0.7146074646074646
102	Cross-validation	0.6685971685971687
103	Cross-validation	0.7724867724867724
104	Cross-validation	0.625
105	Cross-validation	0.6621621621621622
106	Cross-validation	0.7837837837837835
107	Cross-validation	0.7413127413127413
108	Cross-validation	0.6792328042328043
109	Cross-validation	0.6304200542005419
110	Cross-validation	0.6608751608751608
111	Cross-validation	0.8162805662805663
112	Cross-validation	0.611969111969112
113	Cross-validation	0.6448412698412699
114	Cross-validation	0.712059620596206
115	Cross-validation	0.777027027027027
116	Cross-validation	0.6618404118404118
117	Cross-validation	0.6145431145431146
118	Cross-validation	0.6144179894179894
119	Cross-validation	0.6016260162601627
120	Cross-validation	0.7586872586872586
121	Cross-validation	0.6647361647361647
122	Cross-validation	0.6267696267696268
123	Cross-validation	0.6984126984126986
124	Cross-validation	0.7344173441734417
125	Cross-validation	0.8014800514800515
126	Cross-validation	0.7351994851994853
127	Cross-validation	0.8088803088803089
128	Cross-validation	0.6167328042328042
129	Cross-validation	0.6355013550135502
130	Cross-validation	0.6438223938223938
131	Cross-validation	0.6386743886743886
132	Cross-validation	0.6895109395109394
133	Cross-validation	0.7615740740740741
134	Cross-validation	0.763550135501355
135	Cross-validation	0.6846846846846848
136	Cross-validation	0.7149292149292149
137	Cross-validation	0.7036679536679538
138	Cross-validation	0.7377645502645502
139	Cross-validation	0.5372628726287263
140	Cross-validation	0.7808880308880308
141	Cross-validation	0.6981981981981982
142	Cross-validation	0.7361647361647363
