	level_1	AUC
0	Cross-validation	0.7908622908622909
0	Testing	0.6979515050167223
1	Cross-validation	0.8256113256113257
1	Testing	0.7922240802675584
2	Cross-validation	0.7651222651222651
2	Testing	0.8432274247491638
3	Cross-validation	0.7308201058201058
3	Testing	0.7412207357859533
4	Cross-validation	0.766260162601626
4	Testing	0.7157190635451506
5	Cross-validation	0.8101673101673101
5	Testing	0.7276337792642141
6	Cross-validation	0.74002574002574
6	Testing	0.7516722408026756
7	Cross-validation	0.8317245817245819
7	Testing	0.756479933110368
8	Cross-validation	0.7923280423280423
8	Testing	0.7717391304347826
9	Cross-validation	0.7777777777777778
9	Testing	0.7976588628762542
10	Cross-validation	0.8346203346203347
10	Testing	0.7771739130434783
11	Cross-validation	0.7734877734877735
11	Testing	0.8018394648829431
12	Cross-validation	0.8365508365508365
12	Testing	0.7391304347826086
13	Cross-validation	0.7275132275132277
13	Testing	0.8697742474916388
14	Cross-validation	0.7645663956639567
14	Testing	0.7391304347826086
15	Cross-validation	0.7754182754182755
15	Testing	0.7228260869565216
16	Cross-validation	0.7416344916344916
16	Testing	0.7357859531772575
17	Cross-validation	0.7767052767052768
17	Testing	0.7675585284280936
18	Cross-validation	0.8452380952380952
18	Testing	0.8352842809364549
19	Cross-validation	0.8346883468834688
19	Testing	0.7629598662207359
20	Cross-validation	0.742921492921493
20	Testing	0.6400501672240803
21	Cross-validation	0.7844272844272846
21	Testing	0.7796822742474916
22	Cross-validation	0.7808880308880309
22	Testing	0.7504180602006688
23	Cross-validation	0.7979497354497356
23	Testing	0.7326505016722408
24	Cross-validation	0.7374661246612466
24	Testing	0.7955685618729098
25	Cross-validation	0.9037966537966539
25	Testing	0.7696488294314381
26	Cross-validation	0.7442084942084942
26	Testing	0.7759197324414716
27	Cross-validation	0.7702702702702703
27	Testing	0.7594063545150501
28	Cross-validation	0.73015873015873
28	Testing	0.7330685618729097
29	Cross-validation	0.7940379403794039
29	Testing	0.7474916387959867
30	Cross-validation	0.8046975546975547
30	Testing	0.8244147157190636
31	Cross-validation	0.8391248391248392
31	Testing	0.6879180602006689
32	Cross-validation	0.787966537966538
32	Testing	0.6956521739130433
33	Cross-validation	0.8234126984126984
33	Testing	0.778010033444816
34	Cross-validation	0.7130758807588077
34	Testing	0.7642140468227425
35	Cross-validation	0.7747747747747747
35	Testing	0.7583612040133778
36	Cross-validation	0.7966537966537967
36	Testing	0.7922240802675585
37	Cross-validation	0.8333333333333335
37	Testing	0.8005852842809364
38	Cross-validation	0.816468253968254
38	Testing	0.6425585284280938
39	Cross-validation	0.7520325203252032
39	Testing	0.7809364548494984
40	Cross-validation	0.8391248391248392
40	Testing	0.794314381270903
41	Cross-validation	0.7348777348777349
41	Testing	0.7706939799331103
42	Cross-validation	0.7548262548262548
42	Testing	0.7077759197324415
43	Cross-validation	0.8429232804232804
43	Testing	0.8461538461538461
44	Cross-validation	0.7628726287262872
44	Testing	0.7307692307692307
45	Cross-validation	0.7303732303732304
45	Testing	0.775710702341137
46	Cross-validation	0.7982625482625483
46	Testing	0.665133779264214
47	Cross-validation	0.7303732303732305
47	Testing	0.6116220735785953
48	Cross-validation	0.8134920634920634
48	Testing	0.7612876254180602
49	Cross-validation	0.8160569105691057
49	Testing	0.7290969899665553
50	Cross-validation	0.7831402831402832
50	Testing	0.7706939799331104
51	Cross-validation	0.8021235521235521
51	Testing	0.8099916387959866
52	Cross-validation	0.7789575289575289
52	Testing	0.7282608695652174
53	Cross-validation	0.7136243386243386
53	Testing	0.7100752508361204
54	Cross-validation	0.7974254742547425
54	Testing	0.7035953177257526
55	Cross-validation	0.7722007722007722
55	Testing	0.7828177257525083
56	Cross-validation	0.7599742599742599
56	Testing	0.7725752508361203
57	Cross-validation	0.7522522522522523
57	Testing	0.7514632107023411
58	Cross-validation	0.806547619047619
58	Testing	0.8831521739130435
59	Cross-validation	0.8604336043360434
59	Testing	0.7589882943143812
60	Cross-validation	0.8005148005148005
60	Testing	0.8256688963210702
61	Cross-validation	0.8774131274131275
61	Testing	0.7341137123745819
62	Cross-validation	0.7892535392535392
62	Testing	0.762541806020067
63	Cross-validation	0.7288359788359788
63	Testing	0.7566889632107023
64	Cross-validation	0.6951219512195123
64	Testing	0.7081939799331104
65	Cross-validation	0.8577863577863578
65	Testing	0.7466555183946488
66	Cross-validation	0.7007722007722007
66	Testing	0.7867892976588629
67	Cross-validation	0.6991634491634492
67	Testing	0.648829431438127
68	Cross-validation	0.8042328042328042
68	Testing	0.7474916387959867
69	Cross-validation	0.780149051490515
69	Testing	0.7627508361204013
70	Cross-validation	0.7239382239382239
70	Testing	0.759824414715719
71	Cross-validation	0.7554697554697555
71	Testing	0.7734113712374582
72	Cross-validation	0.733912483912484
72	Testing	0.7533444816053512
73	Cross-validation	0.7800925925925927
73	Testing	0.7604515050167223
74	Cross-validation	0.7408536585365854
74	Testing	0.8010033444816053
75	Cross-validation	0.796010296010296
75	Testing	0.7803093645484951
76	Cross-validation	0.8259330759330759
76	Testing	0.7464464882943145
77	Cross-validation	0.6824324324324325
77	Testing	0.7380852842809364
78	Cross-validation	0.8128306878306879
78	Testing	0.7637959866220736
79	Cross-validation	0.6663279132791328
79	Testing	0.7633779264214048
80	Cross-validation	0.806949806949807
80	Testing	0.8271321070234114
81	Cross-validation	0.7963320463320464
81	Testing	0.81438127090301
82	Cross-validation	0.7715572715572716
82	Testing	0.8553511705685617
83	Cross-validation	0.709325396825397
83	Testing	0.8543060200668895
84	Cross-validation	0.684620596205962
84	Testing	0.8825250836120401
85	Cross-validation	0.8468468468468469
85	Testing	0.6816471571906355
86	Cross-validation	0.8275418275418276
86	Testing	0.6266722408026755
87	Cross-validation	0.729086229086229
87	Testing	0.8162625418060201
88	Cross-validation	0.7900132275132274
88	Testing	0.7176003344481605
89	Cross-validation	0.7384823848238482
89	Testing	0.7065217391304348
90	Cross-validation	0.7120334620334621
90	Testing	0.74811872909699
91	Cross-validation	0.7860360360360361
91	Testing	0.7355769230769229
92	Cross-validation	0.7255469755469756
92	Testing	0.8331939799331104
93	Cross-validation	0.8492063492063492
93	Testing	0.8202341137123745
94	Cross-validation	0.7516937669376693
94	Testing	0.7890886287625419
95	Cross-validation	0.7323037323037322
95	Testing	0.8457357859531772
96	Cross-validation	0.7416344916344916
96	Testing	0.7792642140468228
97	Cross-validation	0.7985842985842986
97	Testing	0.6875
98	Cross-validation	0.8019179894179894
98	Testing	0.8632943143812709
99	Cross-validation	0.8394308943089431
99	Testing	0.7665133779264214
100	Cross-validation	0.7380952380952381
101	Cross-validation	0.7786357786357787
102	Cross-validation	0.7876447876447877
103	Cross-validation	0.703042328042328
104	Cross-validation	0.8042005420054201
105	Cross-validation	0.7776705276705277
106	Cross-validation	0.7660875160875161
107	Cross-validation	0.7178249678249679
108	Cross-validation	0.7628968253968254
109	Cross-validation	0.7581300813008129
110	Cross-validation	0.7824967824967826
111	Cross-validation	0.6512226512226512
112	Cross-validation	0.7599742599742599
113	Cross-validation	0.748015873015873
114	Cross-validation	0.8472222222222223
115	Cross-validation	0.7181467181467182
116	Cross-validation	0.7316602316602318
117	Cross-validation	0.7918275418275418
118	Cross-validation	0.8485449735449735
119	Cross-validation	0.7384823848238482
120	Cross-validation	0.7654440154440154
121	Cross-validation	0.7837837837837838
122	Cross-validation	0.7895752895752894
123	Cross-validation	0.6593915343915344
124	Cross-validation	0.7621951219512195
125	Cross-validation	0.6833976833976835
126	Cross-validation	0.861003861003861
127	Cross-validation	0.8050193050193051
128	Cross-validation	0.7748015873015873
129	Cross-validation	0.6839430894308943
130	Cross-validation	0.7445302445302445
131	Cross-validation	0.7689832689832691
132	Cross-validation	0.729086229086229
133	Cross-validation	0.6521164021164021
134	Cross-validation	0.8340108401084011
135	Cross-validation	0.8056628056628057
136	Cross-validation	0.7615830115830116
137	Cross-validation	0.7043114543114544
138	Cross-validation	0.738095238095238
139	Cross-validation	0.8123306233062331
140	Cross-validation	0.7477477477477479
141	Cross-validation	0.8092020592020592
142	Cross-validation	0.7065637065637066
143	Cross-validation	0.7589285714285713
144	Cross-validation	0.8008130081300813
145	Cross-validation	0.7252252252252253
146	Cross-validation	0.8024453024453024
147	Cross-validation	0.7686615186615187
148	Cross-validation	0.7982804232804233
149	Cross-validation	0.7737127371273713
150	Cross-validation	0.8413770913770915
151	Cross-validation	0.7882882882882883
152	Cross-validation	0.7313384813384813
153	Cross-validation	0.7334656084656086
154	Cross-validation	0.8543360433604337
155	Cross-validation	0.7213642213642214
156	Cross-validation	0.7985842985842987
157	Cross-validation	0.776061776061776
158	Cross-validation	0.8025793650793651
159	Cross-validation	0.7889566395663958
160	Cross-validation	0.7046332046332047
161	Cross-validation	0.8021235521235521
162	Cross-validation	0.7918275418275418
163	Cross-validation	0.8244047619047621
164	Cross-validation	0.7787940379403795
165	Cross-validation	0.7599742599742599
166	Cross-validation	0.8133848133848134
167	Cross-validation	0.6531531531531531
168	Cross-validation	0.8759920634920635
169	Cross-validation	0.7754065040650406
170	Cross-validation	0.7767052767052767
171	Cross-validation	0.798906048906049
172	Cross-validation	0.7574002574002574
173	Cross-validation	0.7867063492063492
174	Cross-validation	0.8224932249322494
175	Cross-validation	0.7966537966537967
176	Cross-validation	0.7834620334620335
177	Cross-validation	0.7792792792792793
178	Cross-validation	0.726521164021164
179	Cross-validation	0.8116531165311652
180	Cross-validation	0.8027670527670527
181	Cross-validation	0.7628700128700129
182	Cross-validation	0.7454954954954955
183	Cross-validation	0.7989417989417988
184	Cross-validation	0.7825203252032521
185	Cross-validation	0.7409909909909911
186	Cross-validation	0.8854568854568855
187	Cross-validation	0.7940797940797941
188	Cross-validation	0.654431216931217
189	Cross-validation	0.8055555555555556
190	Cross-validation	0.8336550836550837
191	Cross-validation	0.7760617760617761
192	Cross-validation	0.8426640926640927
193	Cross-validation	0.7298280423280423
194	Cross-validation	0.7926829268292682
195	Cross-validation	0.7796010296010296
196	Cross-validation	0.7361647361647362
197	Cross-validation	0.7944015444015444
198	Cross-validation	0.7268518518518519
199	Cross-validation	0.8455284552845529
200	Cross-validation	0.8288288288288289
201	Cross-validation	0.7245817245817245
202	Cross-validation	0.787001287001287
203	Cross-validation	0.6203703703703705
204	Cross-validation	0.8313008130081302
205	Cross-validation	0.7824967824967826
206	Cross-validation	0.7805662805662806
207	Cross-validation	0.7676962676962678
208	Cross-validation	0.8048941798941799
209	Cross-validation	0.725609756097561
210	Cross-validation	0.7477477477477478
211	Cross-validation	0.7966537966537967
212	Cross-validation	0.8301158301158301
213	Cross-validation	0.7486772486772486
214	Cross-validation	0.8218157181571816
215	Cross-validation	0.8005148005148005
216	Cross-validation	0.7915057915057915
217	Cross-validation	0.7175032175032175
218	Cross-validation	0.7414021164021164
219	Cross-validation	0.7784552845528456
220	Cross-validation	0.7477477477477477
221	Cross-validation	0.7902187902187903
222	Cross-validation	0.7947232947232947
223	Cross-validation	0.6772486772486773
224	Cross-validation	0.7791327913279134
225	Cross-validation	0.7142857142857143
226	Cross-validation	0.7902187902187903
227	Cross-validation	0.7586872586872586
228	Cross-validation	0.7361111111111112
229	Cross-validation	0.8252032520325203
230	Cross-validation	0.7644787644787645
231	Cross-validation	0.7676962676962676
232	Cross-validation	0.7696267696267696
233	Cross-validation	0.8604497354497355
234	Cross-validation	0.6863143631436314
235	Cross-validation	0.8436293436293436
236	Cross-validation	0.7265122265122265
237	Cross-validation	0.758043758043758
238	Cross-validation	0.7685185185185185
239	Cross-validation	0.8265582655826558
240	Cross-validation	0.7927927927927928
241	Cross-validation	0.8526383526383527
242	Cross-validation	0.7039897039897041
243	Cross-validation	0.7923280423280423
244	Cross-validation	0.7649051490514905
245	Cross-validation	0.7638352638352639
246	Cross-validation	0.9272844272844273
247	Cross-validation	0.7535392535392536
248	Cross-validation	0.7314814814814814
249	Cross-validation	0.7025745257452574
250	Cross-validation	0.7937580437580438
251	Cross-validation	0.8005148005148004
252	Cross-validation	0.7841055341055342
253	Cross-validation	0.7681878306878307
254	Cross-validation	0.6849593495934959
255	Cross-validation	0.8021235521235521
256	Cross-validation	0.7290862290862291
257	Cross-validation	0.8265765765765767
258	Cross-validation	0.7572751322751322
259	Cross-validation	0.6405826558265582
260	Cross-validation	0.7387387387387387
261	Cross-validation	0.7812097812097811
262	Cross-validation	0.7895752895752896
263	Cross-validation	0.7453703703703703
264	Cross-validation	0.8550135501355014
265	Cross-validation	0.8346203346203346
266	Cross-validation	0.8285070785070785
267	Cross-validation	0.8014800514800514
268	Cross-validation	0.7447089947089948
269	Cross-validation	0.690379403794038
270	Cross-validation	0.7738095238095238
271	Cross-validation	0.8191763191763192
272	Cross-validation	0.8310810810810811
273	Cross-validation	0.787367724867725
274	Cross-validation	0.7984417344173441
275	Cross-validation	0.7976190476190477
276	Cross-validation	0.7075289575289576
277	Cross-validation	0.7512870012870014
278	Cross-validation	0.8716931216931216
279	Cross-validation	0.7157859078590786
280	Cross-validation	0.7754182754182755
281	Cross-validation	0.7564350064350065
282	Cross-validation	0.8095238095238095
283	Cross-validation	0.8201058201058202
284	Cross-validation	0.806910569105691
285	Cross-validation	0.7744530244530244
286	Cross-validation	0.6634491634491635
287	Cross-validation	0.8027670527670527
288	Cross-validation	0.8088624338624338
289	Cross-validation	0.8712737127371273
290	Cross-validation	0.8101673101673101
291	Cross-validation	0.7635135135135136
292	Cross-validation	0.7641570141570142
293	Cross-validation	0.7923280423280423
294	Cross-validation	0.7987804878048781
295	Cross-validation	0.7432432432432432
