	level_1	AUC
0	Cross-validation	0.7625482625482625
0	Testing	0.7061036789297658
1	Cross-validation	0.6975546975546976
1	Testing	0.7458193979933111
2	Cross-validation	0.7612612612612613
2	Testing	0.6555183946488294
3	Cross-validation	0.75
3	Testing	0.6726588628762541
4	Cross-validation	0.7642276422764227
4	Testing	0.6279264214046822
5	Cross-validation	0.8011583011583011
5	Testing	0.6091137123745819
6	Cross-validation	0.7072072072072072
6	Testing	0.5919732441471572
7	Cross-validation	0.7014157014157014
7	Testing	0.7491638795986622
8	Cross-validation	0.6673280423280423
8	Testing	0.7830267558528429
9	Cross-validation	0.7378048780487805
9	Testing	0.7537625418060201
10	Cross-validation	0.7728442728442729
10	Testing	0.6877090301003344
11	Cross-validation	0.7303732303732304
11	Testing	0.6626254180602006
12	Cross-validation	0.7413127413127414
12	Testing	0.6726588628762541
13	Cross-validation	0.738095238095238
13	Testing	0.7198996655518395
14	Cross-validation	0.796070460704607
14	Testing	0.6120401337792643
15	Cross-validation	0.7528957528957528
15	Testing	0.6743311036789297
16	Cross-validation	0.7239382239382239
16	Testing	0.7349498327759196
17	Cross-validation	0.8024453024453024
17	Testing	0.6659698996655519
18	Cross-validation	0.6818783068783069
18	Testing	0.7119565217391304
19	Cross-validation	0.8082655826558266
19	Testing	0.6789297658862877
20	Cross-validation	0.7966537966537967
20	Testing	0.6994147157190636
21	Cross-validation	0.7065637065637066
21	Testing	0.7633779264214047
22	Cross-validation	0.7516087516087516
22	Testing	0.6634615384615384
23	Cross-validation	0.6944444444444444
23	Testing	0.6870819397993311
24	Cross-validation	0.7649051490514904
24	Testing	0.6567725752508361
25	Cross-validation	0.7760617760617761
25	Testing	0.6806020066889632
26	Cross-validation	0.7483912483912485
26	Testing	0.6624163879598662
27	Cross-validation	0.7046332046332047
27	Testing	0.6722408026755853
28	Cross-validation	0.7698412698412699
28	Testing	0.669732441471572
29	Cross-validation	0.7242547425474255
29	Testing	0.5752508361204013
30	Cross-validation	0.6634491634491636
30	Testing	0.6797658862876254
31	Cross-validation	0.8063063063063063
31	Testing	0.5752508361204013
32	Cross-validation	0.781853281853282
32	Testing	0.6622073578595317
33	Cross-validation	0.7797619047619047
33	Testing	0.7127926421404683
34	Cross-validation	0.7838753387533876
34	Testing	0.6555183946488294
35	Cross-validation	0.731016731016731
35	Testing	0.6626254180602007
36	Cross-validation	0.7631917631917633
36	Testing	0.6806020066889632
37	Cross-validation	0.7348777348777349
37	Testing	0.6785117056856188
38	Cross-validation	0.7724867724867726
38	Testing	0.6964882943143813
39	Cross-validation	0.7269647696476966
39	Testing	0.6981605351170569
40	Cross-validation	0.6956241956241956
40	Testing	0.6918896321070235
41	Cross-validation	0.7792792792792792
41	Testing	0.6450668896321069
42	Cross-validation	0.6396396396396397
42	Testing	0.6592809364548495
43	Cross-validation	0.7559523809523809
43	Testing	0.6939799331103679
44	Cross-validation	0.768970189701897
44	Testing	0.717391304347826
45	Cross-validation	0.7850707850707851
45	Testing	0.7010869565217392
46	Cross-validation	0.7728442728442728
46	Testing	0.6170568561872909
47	Cross-validation	0.749034749034749
47	Testing	0.7650501672240803
48	Cross-validation	0.7096560846560847
48	Testing	0.6964882943143813
49	Cross-validation	0.6808943089430894
49	Testing	0.6806020066889632
50	Cross-validation	0.7284427284427284
50	Testing	0.6107859531772576
51	Cross-validation	0.7561132561132562
51	Testing	0.8043478260869565
52	Cross-validation	0.7818532818532818
52	Testing	0.7027591973244146
53	Cross-validation	0.7268518518518517
53	Testing	0.6688963210702341
54	Cross-validation	0.690379403794038
54	Testing	0.7002508361204013
55	Cross-validation	0.6486486486486487
55	Testing	0.6806020066889632
56	Cross-validation	0.7323037323037324
56	Testing	0.7073578595317725
57	Cross-validation	0.7239382239382239
57	Testing	0.6663879598662207
58	Cross-validation	0.75
58	Testing	0.6676421404682273
59	Cross-validation	0.7757452574525745
59	Testing	0.7479096989966555
60	Cross-validation	0.6801801801801802
60	Testing	0.5988712374581939
61	Cross-validation	0.7799227799227799
61	Testing	0.7052675585284282
62	Cross-validation	0.7625482625482625
62	Testing	0.7027591973244146
63	Cross-validation	0.6931216931216931
63	Testing	0.7353678929765886
64	Cross-validation	0.7621951219512195
64	Testing	0.6939799331103678
65	Cross-validation	0.8120978120978122
65	Testing	0.7671404682274248
66	Cross-validation	0.6628056628056628
66	Testing	0.6642976588628762
67	Cross-validation	0.722007722007722
67	Testing	0.6989966555183946
68	Cross-validation	0.7182539682539683
68	Testing	0.7357859531772575
69	Cross-validation	0.7743902439024389
69	Testing	0.7102842809364548
70	Cross-validation	0.7323037323037324
70	Testing	0.7244983277591973
71	Cross-validation	0.6229086229086229
71	Testing	0.5990802675585285
72	Cross-validation	0.7239382239382239
72	Testing	0.7516722408026756
73	Cross-validation	0.7182539682539683
73	Testing	0.5994983277591974
74	Cross-validation	0.7201897018970189
74	Testing	0.6927257525083612
75	Cross-validation	0.7014157014157014
75	Testing	0.6801839464882943
76	Cross-validation	0.7213642213642213
