	level_1	AUC
0	Cross-validation	0.7271557271557272
0	Testing	0.6954526491447642
1	Cross-validation	0.7953667953667953
1	Testing	0.6510942760942761
2	Cross-validation	0.6990740740740741
2	Testing	0.5974630021141649
3	Cross-validation	0.7003968253968254
3	Testing	0.6845538720538721
4	Cross-validation	0.6455026455026455
4	Testing	0.6952083333333334
5	Cross-validation	0.7084942084942085
5	Testing	0.6442179884802836
6	Cross-validation	0.7445302445302445
6	Testing	0.663537755527743
7	Cross-validation	0.5806878306878307
7	Testing	0.6374999999999998
8	Cross-validation	0.701058201058201
8	Testing	0.6904166666666667
9	Cross-validation	0.6395502645502646
9	Testing	0.6257928118393234
10	Cross-validation	0.5752895752895751
10	Testing	0.782190635451505
11	Cross-validation	0.7657657657657658
11	Testing	0.6816666666666668
12	Cross-validation	0.6752645502645502
12	Testing	0.704630788485607
13	Cross-validation	0.7175925925925927
13	Testing	0.671458773784355
14	Cross-validation	0.7288359788359787
14	Testing	0.7235772357723578
15	Cross-validation	0.6821106821106822
15	Testing	0.7433403805496829
16	Cross-validation	0.6891891891891893
16	Testing	0.7351588628762541
17	Cross-validation	0.619047619047619
17	Testing	0.6346153846153846
18	Cross-validation	0.7169312169312169
18	Testing	0.6217758985200845
19	Cross-validation	0.705026455026455
19	Testing	0.7339622641509433
20	Cross-validation	0.6750321750321749
20	Testing	0.7579741379310344
21	Cross-validation	0.7226512226512226
21	Testing	0.7964046822742474
22	Cross-validation	0.708994708994709
22	Testing	0.7005649717514124
23	Cross-validation	0.6792328042328042
23	Testing	0.7811253876827648
24	Cross-validation	0.7321428571428572
24	Testing	0.7019230769230769
25	Cross-validation	0.6911196911196911
25	Testing	0.7420833333333333
26	Cross-validation	0.6840411840411841
26	Testing	0.7179808093450146
27	Cross-validation	0.7288359788359788
27	Testing	0.7098662207357859
28	Cross-validation	0.6183862433862435
28	Testing	0.7023060796645704
29	Cross-validation	0.7791005291005292
29	Testing	0.7863731656184487
30	Cross-validation	0.6473616473616475
30	Testing	0.7679765886287626
31	Cross-validation	0.7072072072072072
31	Testing	0.7533333333333333
32	Cross-validation	0.6832010582010581
32	Testing	0.7270833333333333
33	Cross-validation	0.6534391534391534
33	Testing	0.6438127090301003
34	Cross-validation	0.8002645502645502
34	Testing	0.668054977092878
35	Cross-validation	0.7303732303732304
35	Testing	0.7202753441802253
36	Cross-validation	0.667953667953668
