cv_aucs	test_aucs	Sigma	Cost
0.751540259771967	0.645726495726496	1e-05	1e-04
0.73761515871272	0.695726495726496	1e-06	0.001
0.73705946364483	0.700641025641026	1e-08	1e-04
0.720826353356841	0.76965811965812	1e-07	1e-05
0.731357376540303	0.653418803418803	1e-05	1e-06
0.744118792137085	0.58525641025641	1e-06	1e-06
0.695843578770408	0.770940170940171	1e-07	0.001
0.739647574403672	0.761111111111111	1e-05	1e-06
0.715814359655823	0.727350427350427	1e-06	0.001
0.701444733060587	0.70448717948718	1e-07	1e-04
0.728017451249159	0.633760683760684	1e-05	1e-04
0.749506135054916	0.656410256410256	1e-08	0.001
0.721913808407711	0.706837606837607	1e-06	1e-04
0.690883758322783	0.786752136752137	1e-06	0.001
0.743654808990175	0.718803418803419	1e-05	1e-05
0.739823643329741	0.667094017094017	1e-05	1e-05
0.752629445647738	0.661111111111111	1e-05	1e-06
0.726118139044968	0.773504273504274	1e-05	0.001
0.716562647141915	0.709401709401709	1e-05	1e-05
0.718311351421108	0.723076923076923	1e-07	0.001
0.705690634013805	0.752136752136752	1e-07	1e-04
0.724353953256392	0.725854700854701	1e-06	1e-06
0.716178757154367	0.782905982905983	1e-07	1e-05
0.732420512847342	0.682478632478632	1e-05	1e-05
0.746609885146471	0.637606837606838	1e-07	0.001
0.740278030643884	0.648290598290598	1e-06	0.001
0.728335255987695	0.68034188034188	1e-07	0.001
0.723328991011918	0.678632478632479	1e-07	0.001
0.737328487023609	0.581623931623932	1e-05	1e-05
0.740712790316449	0.731837606837607	1e-07	1e-04
0.712033666942203	0.70042735042735	1e-05	1e-05
0.729756184756185	0.692521367521368	1e-07	1e-05
0.716981593963301	0.755769230769231	1e-07	0.001
0.735644407473676	0.725213675213675	1e-05	1e-04
0.742910610959391	0.737393162393162	1e-07	1e-05
0.71747892927771	0.701709401709402	1e-07	0.001
0.723604126774859	0.667521367521367	1e-05	1e-04
0.7189372342726	0.633547008547009	1e-07	1e-05
0.716947186733772	0.694230769230769	1e-06	1e-06
0.705132379766526	0.730982905982906	1e-07	1e-04
0.708370221266563	0.754700854700855	1e-06	1e-05
0.723606459246703	0.730128205128205	1e-06	1e-04
0.707286912347888	0.725213675213675	1e-05	0.001
0.742618611643002	0.667521367521367	1e-06	1e-04
0.729826695162061	0.623076923076923	1e-08	0.001
0.744638462504316	0.635470085470085	1e-06	0.001
0.734256708799392	0.658974358974359	1e-05	1e-05
0.724254145260243	0.710897435897436	1e-06	1e-06
0.719202303348645	0.678418803418803	1e-08	1e-04
0.711311455183406	0.775641025641026	1e-08	0.001
