"C","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.015,0.717292396926543,0.711981981981982,0.60184668989547,0.0565169711954818,0.0724373861965601,0.0942357751795901,"L2_Linear_SVM"
0.025,0.717833486796901,0.651636636636637,0.682938443670151,0.056087114877137,0.0830000105557696,0.078242991379456,"L2_Linear_SVM"
0.035,0.720283192600266,0.615255255255255,0.733101045296167,0.0528968356789298,0.0747178853488186,0.0667554437318999,"L2_Linear_SVM"
0.05,0.721773934212959,0.5896996996997,0.741614401858304,0.051207971916503,0.0804956518535222,0.0690237690331136,"L2_Linear_SVM"
0.06,0.723883456627359,0.594534534534535,0.741649245063879,0.0503873936596521,0.0801991088235566,0.0709388779025333,"L2_Linear_SVM"
0.015,0.711526491648443,0.691666666666667,0.608002322880372,0.052753952535301,0.0734935223820543,0.0855888843756504,"L2_Linear_SVM"
0.025,0.708832412551925,0.652372372372372,0.664889663182346,0.0547902464447858,0.0904125350539947,0.070242435770001,"L2_Linear_SVM"
0.035,0.708067675689627,0.613843843843844,0.712206736353078,0.0526843883457528,0.0845467989641552,0.0669304903881359,"L2_Linear_SVM"
0.05,0.709536478987698,0.583498498498499,0.73855981416957,0.0507620082361361,0.0755396074524493,0.0679263700782696,"L2_Linear_SVM"
0.06,0.708842099939661,0.579129129129129,0.732752613240418,0.0484443396026473,0.0826897631372047,0.0693989147267511,"L2_Linear_SVM"
0.015,0.710096542535567,0.709159159159159,0.614320557491289,0.0547356916243822,0.0552690927833285,0.082950390183539,"L2_Linear_SVM"
0.025,0.707430426942622,0.667342342342342,0.665087108013937,0.0552684479415688,0.0629932114889507,0.078319704500701,"L2_Linear_SVM"
0.035,0.706952762867397,0.627747747747748,0.716341463414634,0.0553170145530944,0.0671281771229476,0.0711635626376349,"L2_Linear_SVM"
0.05,0.705672336099165,0.594024024024024,0.735005807200929,0.055265904287728,0.0735311240548314,0.0680543637409281,"L2_Linear_SVM"
0.06,0.705624274099884,0.575555555555556,0.734970963995354,0.0543915070464171,0.0832520292849599,0.0754381534518674,"L2_Linear_SVM"
0.015,0.720488807622954,0.68481981981982,0.626864111498258,0.0649691465937561,0.0779569874954386,0.105885463627208,"L2_Linear_SVM"
0.025,0.722351166497508,0.642867867867868,0.698188153310105,0.0650636978810292,0.0838239352917976,0.0898248975775995,"L2_Linear_SVM"
0.035,0.725157195523049,0.605855855855856,0.743588850174216,0.0629162447889741,0.0746990645115111,0.0843246980443642,"L2_Linear_SVM"
0.05,0.726066301493131,0.586366366366366,0.763658536585366,0.0619636539704004,0.0895820232728909,0.0846407226621772,"L2_Linear_SVM"
0.06,0.724102037577647,0.574864864864865,0.757990708478513,0.0599709159511253,0.0835678686046577,0.0779252735747747,"L2_Linear_SVM"
0.015,0.731878359195432,0.703978978978979,0.619767711962834,0.0603616807149781,0.0700523432883436,0.0837124135303876,"L2_Linear_SVM"
0.025,0.736094064447723,0.656126126126126,0.687073170731707,0.0586915608531064,0.0764749610289439,0.0683268268682397,"L2_Linear_SVM"
0.035,0.74019190793581,0.604339339339339,0.740278745644599,0.0581307432538915,0.0755294349816457,0.0752784810554408,"L2_Linear_SVM"
0.05,0.743722564027442,0.590255255255255,0.7565737514518,0.0563008042252296,0.0759032718232148,0.0724513777263535,"L2_Linear_SVM"
0.06,0.746679196618221,0.588018018018018,0.757549361207898,0.0541809292531272,0.0738582767413689,0.0710183504910007,"L2_Linear_SVM"
0.015,0.697078594273716,0.605015015015015,0.677967479674797,0.0454946134961283,0.0776153902526527,0.0725298487321365,"L2_Linear_SVM"
0.025,0.697679491338028,0.581141141141141,0.71486643437863,0.0428576791988545,0.0836022449150961,0.0711143956949969,"L2_Linear_SVM"
0.035,0.697892256367866,0.547372372372372,0.750150987224158,0.0411991720771462,0.0744774970004083,0.0627042228256435,"L2_Linear_SVM"
0.05,0.695047277242399,0.535900900900901,0.749117305458769,0.0400798321234304,0.0683451154876206,0.0622608670677501,"L2_Linear_SVM"
0.06,0.695067794275111,0.534804804804805,0.745307781649245,0.0393309383993347,0.0737326757713601,0.0634586178712755,"L2_Linear_SVM"
0.015,0.742718755340707,0.703858858858859,0.63116144018583,0.0590189093294157,0.0812021733477964,0.0945375860862835,"L2_Linear_SVM"
0.025,0.740130958484617,0.651141141141141,0.707200929152149,0.0573452930988224,0.0753829319478035,0.0852274344365991,"L2_Linear_SVM"
