"cost","Loss","Accuracy","Kappa","AccuracySD","KappaSD","model"
0.1,"L2",0.69687165577039,0.372651611168809,0.0418833850719488,0.0885705542181185,"L1_Linear_SVM"
0.12,"L2",0.696981377272517,0.374814817633635,0.0418188810276723,0.087513408649281,"L1_Linear_SVM"
0.14,"L2",0.695826439383401,0.374734689032547,0.0439627411181208,0.0910633427925926,"L1_Linear_SVM"
0.16,"L2",0.695608568646543,0.376341343023176,0.046051838823971,0.0946589373001954,"L1_Linear_SVM"
0.18,"L2",0.69632687565599,0.379475797799522,0.0463019008597848,0.0947330584367046,"L1_Linear_SVM"
0.2,"L2",0.695494062899126,0.379070071816912,0.0467254900592395,0.0950879606979583,"L1_Linear_SVM"
0.3,"L2",0.684145816209107,0.359387448641417,0.046176613968655,0.0937937276087284,"L1_Linear_SVM"
0.1,"L2",0.686551992311486,0.350179045726486,0.0416178210908837,0.0882352180260999,"L1_Linear_SVM"
0.12,"L2",0.680764159890742,0.341246342250115,0.0417223295507509,0.0873065307243494,"L1_Linear_SVM"
0.14,"L2",0.675521604977301,0.333704743051823,0.0444886276147639,0.091841777962225,"L1_Linear_SVM"
0.16,"L2",0.670928999270771,0.326742207320159,0.0465481045007682,0.0956723136058312,"L1_Linear_SVM"
0.18,"L2",0.666062587201828,0.318604989277036,0.047079983474407,0.096608915618347,"L1_Linear_SVM"
0.2,"L2",0.664208643676998,0.316262296619899,0.0469493799601846,0.0959224806633059,"L1_Linear_SVM"
0.3,"L2",0.662491428402821,0.316453688516063,0.046546240213347,0.0941221506505771,"L1_Linear_SVM"
0.1,"L2",0.716326188579353,0.421282198165515,0.0462423072168845,0.0929205795376947,"L1_Linear_SVM"
0.12,"L2",0.70875616788275,0.406435333991912,0.0456640212438208,0.0925979132722024,"L1_Linear_SVM"
0.14,"L2",0.70302587707651,0.395788059908776,0.0458427978457342,0.0932882792996474,"L1_Linear_SVM"
0.16,"L2",0.696542158263677,0.383813851264359,0.0457800713641316,0.0927243062753389,"L1_Linear_SVM"
0.18,"L2",0.69413489042603,0.380105570756656,0.0466569773854858,0.0941404656333897,"L1_Linear_SVM"
0.2,"L2",0.693697294266915,0.380301670548272,0.0476298589477414,0.0962310502259026,"L1_Linear_SVM"
0.3,"L2",0.693885076948368,0.384138598038773,0.0483932954447679,0.0968225102355134,"L1_Linear_SVM"
0.1,"L2",0.703268115850394,0.38431399721941,0.0402910219736443,0.085690845051125,"L1_Linear_SVM"
0.12,"L2",0.704692037919886,0.389319870978157,0.0394112020488834,0.0833738804489935,"L1_Linear_SVM"
0.14,"L2",0.702283543460759,0.386839557895375,0.0437053851788612,0.0914706493269963,"L1_Linear_SVM"
0.16,"L2",0.70029056597411,0.384881306898004,0.0447032834784256,0.0928657753796582,"L1_Linear_SVM"
0.18,"L2",0.695099617681896,0.376024575080032,0.0451238467156619,0.0933491990524495,"L1_Linear_SVM"
0.2,"L2",0.690241695013847,0.367442912968044,0.0451297875433522,0.093096017869408,"L1_Linear_SVM"
0.3,"L2",0.68173429102543,0.353347271825376,0.0463850792167068,0.0950116899686725,"L1_Linear_SVM"
0.1,"L2",0.700593570985976,0.380486386791466,0.0402253608363765,0.085764265403684,"L1_Linear_SVM"
0.12,"L2",0.697486627296754,0.376247636465311,0.0406345164067868,0.0857693893477006,"L1_Linear_SVM"
0.14,"L2",0.692553463414223,0.368575838958691,0.041979549156993,0.0876044743811637,"L1_Linear_SVM"
0.16,"L2",0.688455573961903,0.362388914242925,0.043168941837762,0.0895069235806748,"L1_Linear_SVM"
0.18,"L2",0.684779153336115,0.356601481089529,0.0457017106184082,0.0941926503323604,"L1_Linear_SVM"
0.2,"L2",0.68334174264554,0.355109973676406,0.0453199491238778,0.0930259882131292,"L1_Linear_SVM"
0.3,"L2",0.681068471612775,0.353961869574784,0.045341200654789,0.0915036688441478,"L1_Linear_SVM"
0.1,"L2",0.720125119606132,0.425925123692127,0.0399051816868456,0.082088070815151,"L1_Linear_SVM"
0.12,"L2",0.704749006267994,0.394578420699953,0.0413840148885891,0.085289831664597,"L1_Linear_SVM"
0.14,"L2",0.692959808124365,0.371738253125115,0.0426246134539067,0.0875100394495167,"L1_Linear_SVM"
0.16,"L2",0.687487858133428,0.36238464745297,0.0454821952228834,0.0930545556326754,"L1_Linear_SVM"
0.18,"L2",0.684409329067557,0.35775368114428,0.046458916960969,0.0947218659204202,"L1_Linear_SVM"
0.2,"L2",0.681640713716663,0.353333326038629,0.0472382053444908,0.0960975799204063,"L1_Linear_SVM"
0.3,"L2",0.671004329004329,0.33554259510451,0.0470308476637752,0.0950515301642005,"L1_Linear_SVM"
0.1,"L2",0.707812912825571,0.396739078662582,0.0391551463761773,0.0827105189563443,"L1_Linear_SVM"
0.12,"L2",0.71269289781948,0.409349843149605,0.0418997156106564,0.0870537546932831,"L1_Linear_SVM"
0.14,"L2",0.710056791309956,0.406274442371621,0.0419295942337738,0.0864189668355613,"L1_Linear_SVM"
0.16,"L2",0.700289115947344,0.388326115471856,0.0416918392396831,0.0852866514976174,"L1_Linear_SVM"
0.18,"L2",0.69455093429777,0.377956446972339,0.0416443079350121,0.0851103728890017,"L1_Linear_SVM"
0.2,"L2",0.691749528952061,0.373513257425965,0.0423247798086185,0.0863680178781688,"L1_Linear_SVM"
0.3,"L2",0.688868136083326,0.37073707972309,0.043017113664791,0.0871561933466894,"L1_Linear_SVM"
0.1,"L2",0.70475179672648,0.388708761386955,0.0424344138395635,0.0906004895069065,"L1_Linear_SVM"
0.12,"L2",0.710219177447026,0.402455256303073,0.0423615251542241,0.0895586454743419,"L1_Linear_SVM"
0.14,"L2",0.712327668112478,0.408926942031088,0.0435008668424317,0.0909339911297646,"L1_Linear_SVM"
0.16,"L2",0.712181620067696,0.410316111968495,0.0440921162965911,0.0914318028994403,"L1_Linear_SVM"
0.18,"L2",0.71134618546011,0.409905380114257,0.0445178724683789,0.091828618768399,"L1_Linear_SVM"
0.2,"L2",0.708387039121216,0.404993068119736,0.0449281693344921,0.0921618501682954,"L1_Linear_SVM"
0.3,"L2",0.702542449112069,0.396269369226433,0.0451720325844122,0.0917309453848864,"L1_Linear_SVM"
0.1,"L2",0.682982296184828,0.345002840701313,0.04070776267492,0.0860021614846052,"L1_Linear_SVM"
0.12,"L2",0.692120339576036,0.366220089377139,0.0425434470481858,0.0892919397842037,"L1_Linear_SVM"
0.14,"L2",0.699803609892217,0.384317281504708,0.0439961823299835,0.0914948617640531,"L1_Linear_SVM"
0.16,"L2",0.702424853627385,0.39139025840828,0.0445913119848693,0.0917807844551487,"L1_Linear_SVM"
0.18,"L2",0.701401716427033,0.39073886504994,0.0449524781528818,0.0919461441679152,"L1_Linear_SVM"
0.2,"L2",0.698565358691941,0.385981476593708,0.0461927722620868,0.0942508604239822,"L1_Linear_SVM"
0.3,"L2",0.688005998221188,0.36753083947509,0.046687732569351,0.0939518821684191,"L1_Linear_SVM"
0.1,"L2",0.687071354805532,0.351650390408266,0.0427849599973433,0.090442217463818,"L1_Linear_SVM"
0.12,"L2",0.692288749225458,0.365158509227881,0.043091555356636,0.0897660551144793,"L1_Linear_SVM"
0.14,"L2",0.696873565253312,0.377137621538461,0.0441922097692915,0.0912812714756374,"L1_Linear_SVM"
0.16,"L2",0.700004076092684,0.385551068022149,0.0438383049817544,0.0901034633226595,"L1_Linear_SVM"
0.18,"L2",0.700611671029393,0.38851514643276,0.0438979324654309,0.0896515871950462,"L1_Linear_SVM"
0.2,"L2",0.699797957316945,0.388077394209225,0.0435893722346705,0.0886418250337154,"L1_Linear_SVM"
0.3,"L2",0.690666131337017,0.373418433136713,0.0469154203269041,0.0948905461731744,"L1_Linear_SVM"
0.1,"L2",0.701654417312645,0.384780928031686,0.043709355376985,0.0917347428557115,"L1_Linear_SVM"
0.12,"L2",0.711060471174395,0.40739862555366,0.045187474375414,0.0937874883770424,"L1_Linear_SVM"
0.14,"L2",0.71779143641169,0.423544081027772,0.0454323590357027,0.0934830721883494,"L1_Linear_SVM"
0.16,"L2",0.72031337017413,0.430270779696282,0.0465556251962305,0.0953388497952168,"L1_Linear_SVM"
0.18,"L2",0.720887757811808,0.432557470071538,0.0459539672355814,0.0939117920406772,"L1_Linear_SVM"
0.2,"L2",0.719542440681681,0.430726610640532,0.0463095005202094,0.0944105559612255,"L1_Linear_SVM"
0.3,"L2",0.711187403313986,0.415989716863907,0.0464640184189579,0.0935249619361466,"L1_Linear_SVM"
0.1,"L2",0.680619953885777,0.341816990958107,0.0416205894185731,0.0854134295687361,"L1_Linear_SVM"
