"cost","loss","epsilon","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.001,"L2_dual",0.001,0.715832444814152,0.0321336336336336,0.995793263646922,0.0572627607617094,0.045719772152818,0.0110499390162469,"L2_Logistic_Regression"
0.001,"L2_dual",0.01,0.7158556657703,0.0321336336336336,0.995793263646922,0.0572632057717425,0.045719772152818,0.0110499390162469,"L2_Logistic_Regression"
0.001,"L2_dual",0.1,0.715886947923533,0.0324039039039039,0.995793263646922,0.0572780289925674,0.0458007145164684,0.0110499390162469,"L2_Logistic_Regression"
0.001,"L1",0.001,0.5,1,0,0,0,0,"L2_Logistic_Regression"
0.001,"L1",0.01,0.5,1,0,0,0,0,"L2_Logistic_Regression"
0.001,"L1",0.1,0.5,1,0,0,0,0,"L2_Logistic_Regression"
0.001,"L2_primal",0.001,0.715824582422143,0.0321336336336336,0.995793263646922,0.057267018111605,0.045719772152818,0.0110499390162469,"L2_Logistic_Regression"
0.001,"L2_primal",0.01,0.715786747548943,0.0321876876876877,0.995793263646922,0.0572974735495033,0.0456976762867709,0.0110499390162469,"L2_Logistic_Regression"
0.001,"L2_primal",0.1,0.715803943316138,0.0321321321321321,0.995793263646922,0.0573003011260434,0.0457199278195068,0.0110499390162469,"L2_Logistic_Regression"
0.01,"L2_dual",0.001,0.734207878610318,0.218749249249249,0.959220673635308,0.0551062846412318,0.0851809388871632,0.0389136075075345,"L2_Logistic_Regression"
0.01,"L2_dual",0.01,0.734219663042834,0.218531531531532,0.959269454123113,0.055103295960549,0.0852161334147075,0.0388589761736846,"L2_Logistic_Regression"
0.01,"L2_dual",0.1,0.734212175590224,0.218635135135135,0.959461091753775,0.0551089402996054,0.0850920315263379,0.0389740612728398,"L2_Logistic_Regression"
0.01,"L1",0.001,0.5,1,0,0,0,0,"L2_Logistic_Regression"
0.01,"L1",0.01,0.5,1,0,0,0,0,"L2_Logistic_Regression"
0.01,"L1",0.1,0.5,1,0,0,0,0,"L2_Logistic_Regression"
0.01,"L2_primal",0.001,0.734194980694981,0.218695195195195,0.959220673635308,0.0551030749839547,0.0851911243045179,0.0389136075075345,"L2_Logistic_Regression"
0.01,"L2_primal",0.01,0.73434451350305,0.218477477477477,0.959413472706156,0.0550928243510614,0.0851230576494496,0.0389360794127535,"L2_Logistic_Regression"
0.01,"L2_primal",0.1,0.73096102722932,0.232989489489489,0.952331010452962,0.0556588730551957,0.0841852990098568,0.0417032595232747,"L2_Logistic_Regression"
0.1,"L2_dual",0.001,0.756173460917363,0.529441441441441,0.845341463414634,0.0503886512722385,0.0781805105263961,0.0554539210998037,"L2_Logistic_Regression"
0.1,"L2_dual",0.01,0.756173485332022,0.529387387387387,0.845389082462253,0.0503888421739864,0.0782570228409946,0.0554333213056591,"L2_Logistic_Regression"
0.1,"L2_dual",0.1,0.756226504378943,0.528785285285285,0.845675958188153,0.0503600645408076,0.0778538481737796,0.0553083962750154,"L2_Logistic_Regression"
0.1,"L1",0.001,0.766415608552804,0.543052552552553,0.731950058072009,0.0747213673024966,0.256838939901402,0.407626969462742,"L2_Logistic_Regression"
0.1,"L1",0.01,0.766415608552804,0.543052552552553,0.731950058072009,0.0747213673024966,0.256838939901402,0.407626969462742,"L2_Logistic_Regression"
0.1,"L1",0.1,0.765837493852738,0.543162162162162,0.731997677119628,0.0756581755303473,0.256761131607329,0.407654024048634,"L2_Logistic_Regression"
0.1,"L2_primal",0.001,0.75615903447001,0.529387387387387,0.845436701509872,0.0503914883507517,0.0780697422976157,0.0554536612699087,"L2_Logistic_Regression"
0.1,"L2_primal",0.01,0.756156320083149,0.529277777777778,0.845387921022067,0.0503848798010352,0.0780625467876585,0.0554786344740566,"L2_Logistic_Regression"
0.1,"L2_primal",0.1,0.756393947082971,0.528518018018018,0.846059233449477,0.0503172023698331,0.0779732337311834,0.0555842319322514,"L2_Logistic_Regression"
0.5,"L2_dual",0.001,0.761539182911134,0.567671171171171,0.81602787456446,0.0478407140408151,0.080676147003592,0.0579064484455475,"L2_Logistic_Regression"
0.5,"L2_dual",0.01,0.761548464841148,0.567617117117117,0.816124274099884,0.0478451636534043,0.0806852702701074,0.0578518494687125,"L2_Logistic_Regression"
0.5,"L2_dual",0.1,0.76148341547122,0.567618618618619,0.816171893147503,0.0478528732492375,0.0809884149736319,0.0578591130106304,"L2_Logistic_Regression"
0.5,"L1",0.001,0.752909459110679,0.482632132132132,0.899979094076655,0.0537477864418223,0.100509525383928,0.0775851848641611,"L2_Logistic_Regression"
0.5,"L1",0.01,0.753028095168339,0.481869369369369,0.901692218350755,0.0537213535890805,0.0982420951913027,0.0734312571419746,"L2_Logistic_Regression"
0.5,"L1",0.1,0.749930888205278,0.475127627627628,0.908274099883856,0.0546196536488209,0.088206054013482,0.0583653921492485,"L2_Logistic_Regression"
