eta,max_depth,gamma,colsample_bytree,min_child_weight,subsample,nrounds,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
0.001,8,0,0.8,1,0.4,500,0.672745376038059,0.4203633633633634,0.822938443670151,0.05413504407076774,0.07834244686953679,0.06858705154816178,XGBoost
0.001,8,0,0.8,1,0.5,500,0.6726027578100748,0.4239924924924925,0.8220325203252032,0.05435312819581931,0.08147354484969231,0.06622109709093207,XGBoost
0.001,8,0,0.8,1,0.6,500,0.6688523549682086,0.42111411411411415,0.8222090592334494,0.0555551167100636,0.08087913541260505,0.06537644408770506,XGBoost
0.001,8,0,0.8,1,0.7,500,0.6623861012580525,0.42362612612612616,0.8144750290360047,0.05492338829950963,0.08256886680437027,0.06634784345419568,XGBoost
0.01,8,0,0.8,1,0.4,500,0.6681286669945207,0.4825855855855856,0.7481103368176539,0.05245002006162037,0.07577337170737172,0.07018989416663161,XGBoost
0.01,8,0,0.8,1,0.5,500,0.6706492869175796,0.4866276276276276,0.7535481997677119,0.05186500543568801,0.07697704440275713,0.06945910061989116,XGBoost
0.01,8,0,0.8,1,0.6,500,0.6710820559235193,0.48361411411411415,0.756095238095238,0.052049967182885785,0.07863201426146295,0.06932603020518845,XGBoost
0.01,8,0,0.8,1,0.7,500,0.668166870703456,0.48282732732732736,0.754753774680604,0.05321949542327793,0.07956344747682444,0.07002705567083019,XGBoost
0.1,8,0,0.8,1,0.4,500,0.6232886815386816,0.505015015015015,0.6612845528455285,0.05438879258355002,0.07747022458087516,0.07260727562901867,XGBoost
0.1,8,0,0.8,1,0.5,500,0.6305132789584009,0.5048408408408408,0.6680452961672474,0.05266263498457054,0.08090791679829445,0.07372354386931439,XGBoost
0.1,8,0,0.8,1,0.6,500,0.633818286928043,0.5031186186186186,0.6742113821138211,0.05513723695267376,0.08062368143973515,0.07622878311602165,XGBoost
0.1,8,0,0.8,1,0.7,500,0.6373869296125394,0.5052642642642643,0.6769547038327526,0.051473407324104874,0.07794956761163063,0.0714351689867037,XGBoost
1,8,0,0.8,1,0.4,500,0.5657493556274044,0.5057312312312312,0.5835760743321718,0.05950465717469682,0.084722394834132,0.07439122618495529,XGBoost
1,8,0,0.8,1,0.5,500,0.578419129495349,0.5135075075075075,0.5960987224157956,0.05873716783657806,0.0876365877619674,0.0767885965915061,XGBoost
1,8,0,0.8,1,0.6,500,0.5833171172043123,0.5093948948948949,0.6072659698025552,0.06281082326012477,0.08577045985500592,0.07976842151231452,XGBoost
1,8,0,0.8,1,0.7,500,0.592037656123022,0.5167687687687688,0.616732868757259,0.05885010177381873,0.08175926949939505,0.07861179308145617,XGBoost
0.001,8,0,0.8,1,0.4,500,0.6638704767485255,0.44104954954954956,0.7754065040650406,0.05664114364576304,0.07866660289218802,0.0724143996117589,XGBoost
0.001,8,0,0.8,1,0.5,500,0.6638355507075019,0.43944444444444447,0.7740197444831591,0.05521116987902227,0.08092873303172521,0.07162464071766562,XGBoost
0.001,8,0,0.8,1,0.6,500,0.6615028416918661,0.43682582582582585,0.7735052264808362,0.057334769135061955,0.0838402351933862,0.07296437862639174,XGBoost
0.001,8,0,0.8,1,0.7,500,0.6563290659997977,0.4356696696696697,0.7712229965156795,0.05825503843792999,0.08468605292458396,0.07298276318606162,XGBoost
0.01,8,0,0.8,1,0.4,500,0.6678976929891564,0.511472972972973,0.717144018583043,0.054558568494156044,0.07990903292133428,0.06974661961400719,XGBoost
0.01,8,0,0.8,1,0.5,500,0.6685809773187822,0.5073843843843844,0.7215400696864112,0.05582255381200565,0.08113069073498651,0.07154085756649887,XGBoost
0.01,8,0,0.8,1,0.6,500,0.6675127819457087,0.502897897897898,0.724711962833914,0.054087400199437356,0.08234472021377515,0.06878013002496218,XGBoost
0.01,8,0,0.8,1,0.7,500,0.6663442571491351,0.4974069069069069,0.7278095238095238,0.05383508689694125,0.08124576877198243,0.06892840238827154,XGBoost
0.1,8,0,0.8,1,0.4,500,0.6335472240533216,0.5292042042042042,0.6574285714285715,0.05496058213897659,0.0802581798493869,0.06923031096421715,XGBoost
0.1,8,0,0.8,1,0.5,500,0.6384164103127518,0.5307747747747747,0.6670580720092916,0.05378293112819594,0.0797933726640677,0.07206913434900131,XGBoost
0.1,8,0,0.8,1,0.6,500,0.6371174100930198,0.5238738738738739,0.6707038327526132,0.053760236078034616,0.07911090703745068,0.07270402646459524,XGBoost
0.1,8,0,0.8,1,0.7,500,0.6400327627278847,0.5225915915915916,0.6737921022067364,0.056339694383147745,0.08168581073963536,0.07363997367239233,XGBoost
1,8,0,0.8,1,0.4,500,0.5707566455828651,0.5179774774774775,0.5808234610917538,0.06567018636277959,0.0876306302837492,0.08285548519911705,XGBoost
1,8,0,0.8,1,0.5,500,0.5818744868561941,0.5231336336336336,0.5939512195121951,0.06163055868099795,0.0835951724046281,0.07954786239280541,XGBoost
1,8,0,0.8,1,0.6,500,0.5860700770456868,0.5168258258258258,0.6036236933797909,0.061460760217483666,0.08271335182102114,0.07828452280143358,XGBoost
1,8,0,0.8,1,0.7,500,0.5862801337923289,0.516918918918919,0.6086469221835076,0.06027678746582536,0.08598831112097435,0.08329351323156725,XGBoost
0.001,8,0,0.8,1,0.4,500,0.6836873284434261,0.4272012012012012,0.8064471544715447,0.0516728161188543,0.08630018445888052,0.07257136844519273,XGBoost
0.001,8,0,0.8,1,0.5,500,0.6850048253828742,0.4272177177177177,0.8104088269454123,0.053019593552840624,0.0880479899381059,0.07106526018612647,XGBoost
0.001,8,0,0.8,1,0.6,500,0.6824026910185447,0.4229894894894895,0.8099070847851335,0.05298410089421273,0.08796657176809848,0.07023783473693962,XGBoost
0.001,8,0,0.8,1,0.7,500,0.6797766913254718,0.4293678678678679,0.8048466898954704,0.054663827613629284,0.08730233985223637,0.07084938492643761,XGBoost
0.01,8,0,0.8,1,0.4,500,0.6922638125930809,0.509521021021021,0.7396631823461092,0.050650856830257156,0.0839912262595501,0.06801389204312952,XGBoost
0.01,8,0,0.8,1,0.5,500,0.6933852981901762,0.5108993993993994,0.7418745644599303,0.05123328125741391,0.0833735647919666,0.06866261575845933,XGBoost
0.01,8,0,0.8,1,0.6,500,0.6924719649963552,0.5065075075075075,0.7433937282229965,0.05106941548410238,0.08211855223815484,0.06958287680088453,XGBoost
0.01,8,0,0.8,1,0.7,500,0.692124952478611,0.5069564564564565,0.7469430894308943,0.05150999988091598,0.08336164735552186,0.06826849242209289,XGBoost
0.1,8,0,0.8,1,0.4,500,0.6562608418523053,0.5398663663663664,0.6754959349593496,0.05235333698808316,0.08251283820350616,0.07089770978584117,XGBoost
0.1,8,0,0.8,1,0.5,500,0.6616911746241014,0.539490990990991,0.683616724738676,0.051474928252275245,0.08074017646307587,0.07267396534718353,XGBoost
0.1,8,0,0.8,1,0.6,500,0.6626848826178094,0.5343858858858859,0.6869175377468061,0.052820912922506486,0.08257866664549227,0.0714854353119689,XGBoost
0.1,8,0,0.8,1,0.7,500,0.6628853539951101,0.5341096096096096,0.6876701509872242,0.05170344680275756,0.08035661855951205,0.07026476946630122,XGBoost
1,8,0,0.8,1,0.4,500,0.5821821913376791,0.527542042042042,0.592068524970964,0.06165531540968411,0.08304943725645424,0.08160833110078504,XGBoost
1,8,0,0.8,1,0.5,500,0.5885580414909684,0.5271471471471472,0.6001242740998839,0.06194993062556339,0.08741926943939866,0.07966630190192389,XGBoost
1,8,0,0.8,1,0.6,500,0.6003780906341882,0.5270135135135136,0.6159930313588851,0.05995408847780051,0.08768216847218666,0.07875561477980421,XGBoost
1,8,0,0.8,1,0.7,500,0.6050297797797798,0.5305300300300301,0.6197363530778165,0.0616511823930036,0.08226507595241925,0.0781672799419539,XGBoost
0.001,8,0,0.8,1,0.4,500,0.706648956447737,0.46934234234234234,0.8220998838559814,0.05610423395520077,0.08475609476485066,0.06663538495561361,XGBoost
